Invoice ID,Date,City,Customer type,Gender,Product line,Unit cost,Unit price,Quantity
649-29-6775,2/8/2019,Mandalay,Normal,Male,Fashion accessories,8.64,33.52,1
189-17-4241,3/10/2019,Yangon,Normal,Female,Fashion accessories,8.64,87.67,2
145-94-9061,1/25/2019,Mandalay,Normal,Female,Food and beverages,9.4,88.36,5
848-62-7243,3/15/2019,Yangon,Normal,Male,Health and beauty,9.33,24.89,9
871-79-8483,2/25/2019,Mandalay,Normal,Male,Fashion accessories,8.64,94.13,5
149-71-6266,1/28/2019,Mandalay,Member,Male,Sports and travel,9.13,78.07,9
640-49-2076,1/10/2019,Mandalay,Normal,Male,Sports and travel,9.13,83.78,8
595-11-5460,3/15/2019,Yangon,Normal,Male,Health and beauty,9.33,96.58,2
183-56-6882,2/6/2019,Naypyitaw,Member,Female,Food and beverages,9.4,99.42,4
232-16-2483,1/7/2019,Naypyitaw,Member,Female,Sports and travel,9.13,68.12,1
129-29-8530,3/10/2019,Yangon,Member,Male,Sports and travel,9.13,62.62,5
272-65-1806,1/15/2019,Yangon,Normal,Female,Electronic accessories,9.8,60.88,9
333-73-7901,3/23/2019,Naypyitaw,Normal,Female,Health and beauty,9.33,54.92,8
777-82-7220,3/3/2019,Mandalay,Member,Male,Home and lifestyle,9.86,30.12,8
280-35-5823,1/17/2019,Mandalay,Member,Female,Home and lifestyle,9.86,86.72,1
554-53-8700,2/2/2019,Naypyitaw,Member,Male,Home and lifestyle,9.86,56.11,2
354-25-5821,2/8/2019,Mandalay,Member,Female,Sports and travel,9.13,69.12,6
228-96-1411,3/4/2019,Naypyitaw,Member,Female,Food and beverages,9.4,98.7,8
617-15-4209,3/16/2019,Naypyitaw,Member,Male,Health and beauty,9.33,15.37,2
132-32-9879,3/9/2019,Mandalay,Member,Female,Electronic accessories,9.8,93.96,4
370-41-7321,2/27/2019,Mandalay,Member,Male,Health and beauty,9.33,56.69,9
727-46-3608,2/6/2019,Mandalay,Member,Female,Food and beverages,9.4,20.01,9
669-54-1719,2/10/2019,Mandalay,Member,Male,Electronic accessories,9.8,18.93,6
574-22-5561,3/19/2019,Naypyitaw,Member,Female,Fashion accessories,8.64,82.63,10
326-78-5178,2/3/2019,Naypyitaw,Member,Male,Food and beverages,9.4,91.4,7
162-48-8011,2/10/2019,Yangon,Member,Female,Food and beverages,9.4,44.59,5
616-24-2851,3/22/2019,Mandalay,Member,Female,Fashion accessories,8.64,17.87,4
778-71-5554,1/25/2019,Naypyitaw,Member,Male,Fashion accessories,8.64,15.43,1
242-55-6721,3/7/2019,Mandalay,Normal,Male,Home and lifestyle,9.86,16.16,2
399-46-5918,2/28/2019,Naypyitaw,Normal,Female,Electronic accessories,9.8,85.98,8
106-35-6779,3/27/2019,Yangon,Member,Male,Home and lifestyle,9.86,44.34,2
635-40-6220,2/7/2019,Yangon,Normal,Male,Health and beauty,9.33,89.6,8
817-48-8732,1/20/2019,Yangon,Member,Female,Home and lifestyle,9.86,72.35,10
120-06-4233,3/12/2019,Naypyitaw,Normal,Male,Electronic accessories,9.8,30.61,6
285-68-5083,2/15/2019,Naypyitaw,Member,Female,Sports and travel,9.13,24.74,3
803-83-5989,2/24/2019,Naypyitaw,Normal,Male,Home and lifestyle,9.86,55.73,6
347-34-2234,2/3/2019,Mandalay,Member,Female,Sports and travel,9.13,55.07,9
199-75-8169,3/6/2019,Yangon,Member,Male,Sports and travel,9.13,15.81,10
853-23-2453,2/14/2019,Mandalay,Member,Male,Health and beauty,9.33,75.74,4
877-22-3308,3/13/2019,Yangon,Member,Male,Health and beauty,9.33,15.87,10
838-78-4295,2/10/2019,Naypyitaw,Normal,Female,Health and beauty,9.33,33.47,2
109-28-2512,1/7/2019,Mandalay,Member,Female,Fashion accessories,8.64,97.61,6
232-11-3025,1/24/2019,Yangon,Normal,Male,Sports and travel,9.13,78.77,10
382-03-4532,2/2/2019,Yangon,Member,Female,Health and beauty,9.33,18.33,1
393-65-2792,1/6/2019,Naypyitaw,Normal,Male,Food and beverages,9.4,89.48,10
796-12-2025,2/11/2019,Naypyitaw,Normal,Male,Fashion accessories,8.64,62.12,10
510-95-6347,3/5/2019,Mandalay,Member,Female,Food and beverages,9.4,48.52,3
841-35-6630,3/9/2019,Naypyitaw,Normal,Female,Electronic accessories,9.8,75.91,6
287-21-9091,1/22/2019,Yangon,Normal,Male,Home and lifestyle,9.86,74.67,9
732-94-0499,1/13/2019,Naypyitaw,Normal,Female,Electronic accessories,9.8,41.65,10
263-10-3913,1/9/2019,Naypyitaw,Member,Male,Fashion accessories,8.64,49.04,9
381-20-0914,1/12/2019,Yangon,Member,Female,Fashion accessories,8.64,20.01,9
829-49-1914,3/5/2019,Naypyitaw,Member,Female,Food and beverages,9.4,78.31,10
756-01-7507,1/22/2019,Naypyitaw,Normal,Female,Health and beauty,9.33,20.38,5
870-72-4431,1/21/2019,Naypyitaw,Normal,Female,Health and beauty,9.33,99.19,6
847-38-7188,1/26/2019,Mandalay,Normal,Female,Food and beverages,9.4,96.68,3
480-63-2856,1/23/2019,Naypyitaw,Normal,Male,Food and beverages,9.4,19.25,8
787-56-0757,2/23/2019,Naypyitaw,Member,Female,Food and beverages,9.4,80.36,4
360-39-5055,3/9/2019,Naypyitaw,Member,Male,Sports and travel,9.13,48.91,5
730-50-9884,3/5/2019,Naypyitaw,Normal,Female,Sports and travel,9.13,83.06,7
362-58-8315,3/25/2019,Naypyitaw,Normal,Male,Fashion accessories,8.64,76.52,5
633-44-8566,3/27/2019,Yangon,Member,Male,Food and beverages,9.4,49.38,7
504-35-8843,1/2/2019,Yangon,Normal,Male,Sports and travel,9.13,42.47,1
318-68-5053,2/27/2019,Mandalay,Normal,Female,Health and beauty,9.33,76.99,6
565-80-5980,1/23/2019,Naypyitaw,Member,Female,Home and lifestyle,9.86,47.38,4
225-32-0908,1/26/2019,Naypyitaw,Normal,Female,Sports and travel,9.13,44.86,10
873-51-0671,1/10/2019,Yangon,Member,Female,Sports and travel,9.13,21.98,7
152-08-9985,3/12/2019,Mandalay,Member,Male,Health and beauty,9.33,64.36,9
512-91-0811,2/6/2019,Naypyitaw,Normal,Male,Health and beauty,9.33,89.75,1
594-34-4444,3/8/2019,Yangon,Normal,Male,Electronic accessories,9.8,97.16,1
766-85-7061,3/29/2019,Mandalay,Normal,Male,Health and beauty,9.33,87.87,10
871-39-9221,2/9/2019,Naypyitaw,Normal,Female,Electronic accessories,9.8,12.45,6
865-92-6136,3/23/2019,Yangon,Normal,Male,Food and beverages,9.4,52.75,3
733-01-9107,3/5/2019,Mandalay,Normal,Male,Home and lifestyle,9.86,82.7,6
163-56-7055,3/26/2019,Naypyitaw,Member,Male,Fashion accessories,8.64,48.71,1
189-98-2939,3/1/2019,Naypyitaw,Normal,Male,Fashion accessories,8.64,78.55,9
551-21-3069,2/1/2019,Naypyitaw,Normal,Female,Electronic accessories,9.8,23.07,9
212-62-1842,3/28/2019,Yangon,Normal,Male,Food and beverages,9.4,58.26,6
716-39-1409,3/19/2019,Mandalay,Normal,Male,Health and beauty,9.33,30.35,7
704-48-3927,1/12/2019,Yangon,Member,Male,Electronic accessories,9.8,88.67,10
628-34-3388,1/5/2019,Naypyitaw,Normal,Male,Fashion accessories,8.64,27.38,6
630-74-5166,3/22/2019,Yangon,Normal,Male,Sports and travel,9.13,62.13,6
588-01-7461,3/24/2019,Naypyitaw,Normal,Female,Food and beverages,9.4,33.98,9
861-77-0145,3/3/2019,Naypyitaw,Member,Male,Electronic accessories,9.8,81.97,10
479-26-8945,2/5/2019,Mandalay,Member,Female,Sports and travel,9.13,16.49,2
210-67-5886,2/5/2019,Naypyitaw,Member,Female,Health and beauty,9.33,98.21,3
227-78-1148,2/15/2019,Mandalay,Normal,Female,Fashion accessories,8.64,72.84,7
645-44-1170,1/19/2019,Yangon,Member,Male,Home and lifestyle,9.86,58.07,9
237-01-6122,2/1/2019,Naypyitaw,Member,Female,Home and lifestyle,9.86,80.79,9
225-98-1496,3/2/2019,Naypyitaw,Normal,Female,Fashion accessories,8.64,27.02,3
291-32-1427,3/5/2019,Mandalay,Member,Male,Fashion accessories,8.64,21.94,5
659-65-8956,1/16/2019,Mandalay,Member,Male,Fashion accessories,8.64,51.36,1
642-32-2990,2/2/2019,Yangon,Normal,Female,Food and beverages,9.4,10.96,10
378-24-2715,1/20/2019,Mandalay,Normal,Male,Home and lifestyle,9.86,53.44,2
638-60-7125,2/14/2019,Yangon,Normal,Female,Electronic accessories,9.8,99.56,8
659-36-1684,1/12/2019,Naypyitaw,Member,Male,Sports and travel,9.13,57.12,7
219-22-9386,3/9/2019,Mandalay,Member,Male,Sports and travel,9.13,99.96,9
336-78-2147,3/13/2019,Naypyitaw,Member,Male,Home and lifestyle,9.86,63.91,8
268-27-6179,3/9/2019,Mandalay,Member,Female,Fashion accessories,8.64,56.47,8
668-90-8900,3/10/2019,Yangon,Normal,Female,Home and lifestyle,9.86,93.69,7
870-54-3162,1/27/2019,Yangon,Normal,Female,Sports and travel,9.13,32.25,5
189-08-9157,1/8/2019,Naypyitaw,Normal,Female,Fashion accessories,8.64,31.73,9
663-86-9076,1/8/2019,Naypyitaw,Member,Female,Food and beverages,9.4,68.54,8
549-84-7482,2/8/2019,Mandalay,Normal,Female,Sports and travel,9.13,90.28,9
191-10-6171,1/25/2019,Mandalay,Normal,Female,Fashion accessories,8.64,39.62,7
802-70-5316,3/6/2019,Yangon,Member,Female,Sports and travel,9.13,92.13,6
695-51-0018,2/10/2019,Mandalay,Normal,Female,Sports and travel,9.13,34.84,4
590-83-4591,2/17/2019,Mandalay,Member,Male,Electronic accessories,9.8,87.45,6
483-71-1164,3/8/2019,Naypyitaw,Normal,Female,Health and beauty,9.33,81.3,6
597-78-7908,2/18/2019,Naypyitaw,Normal,Male,Fashion accessories,8.64,90.22,3
700-81-1757,1/18/2019,Yangon,Normal,Female,Electronic accessories,9.8,26.31,5
354-39-5160,2/18/2019,Yangon,Member,Female,Home and lifestyle,9.86,34.42,6
241-72-9525,2/16/2019,Mandalay,Normal,Male,Sports and travel,9.13,51.91,10
575-30-8091,3/16/2019,Yangon,Normal,Male,Sports and travel,9.13,72.5,8
731-81-9469,1/23/2019,Naypyitaw,Member,Female,Sports and travel,9.13,89.8,10
280-17-4359,1/25/2019,Naypyitaw,Member,Male,Health and beauty,9.33,90.5,10
338-65-2210,2/5/2019,Naypyitaw,Member,Female,Health and beauty,9.33,68.6,10
488-25-4221,2/22/2019,Naypyitaw,Member,Female,Food and beverages,9.4,30.41,1
239-10-7476,1/21/2019,Yangon,Normal,Female,Home and lifestyle,9.86,77.95,6
458-41-1477,3/8/2019,Naypyitaw,Normal,Female,Health and beauty,9.33,46.26,6
685-64-1609,2/10/2019,Yangon,Member,Female,Fashion accessories,8.64,30.14,10
568-90-5112,3/19/2019,Naypyitaw,Normal,Male,Health and beauty,9.33,66.14,4
262-47-2794,3/6/2019,Mandalay,Member,Male,Home and lifestyle,9.86,71.86,8
238-49-0436,3/27/2019,Yangon,Normal,Male,Health and beauty,9.33,32.46,8
608-96-3517,3/23/2019,Mandalay,Member,Female,Fashion accessories,8.64,91.54,4
584-86-7256,3/11/2019,Naypyitaw,Member,Male,Sports and travel,9.13,34.56,7
746-94-0204,1/29/2019,Yangon,Normal,Male,Fashion accessories,8.64,83.24,9
214-17-6927,2/7/2019,Naypyitaw,Normal,Female,Food and beverages,9.4,16.48,6
400-89-4171,1/28/2019,Naypyitaw,Normal,Female,Sports and travel,9.13,80.97,8
782-95-9291,2/20/2019,Yangon,Member,Male,Food and beverages,9.4,92.29,5
279-74-2924,1/4/2019,Mandalay,Member,Male,Electronic accessories,9.8,72.17,1
307-85-2293,3/7/2019,Mandalay,Normal,Male,Home and lifestyle,9.86,50.28,5
743-04-1105,3/30/2019,Mandalay,Member,Male,Health and beauty,9.33,97.22,9
423-57-2993,3/27/2019,Mandalay,Normal,Male,Sports and travel,9.13,93.39,6
894-41-5205,1/19/2019,Naypyitaw,Normal,Female,Food and beverages,9.4,43.18,8
275-28-0149,2/25/2019,Yangon,Normal,Male,Sports and travel,9.13,63.69,1
101-17-6199,3/13/2019,Yangon,Normal,Male,Food and beverages,9.4,45.79,7
423-80-0988,1/30/2019,Naypyitaw,Normal,Male,Sports and travel,9.13,76.4,2
548-46-9322,2/20/2019,Mandalay,Normal,Male,Food and beverages,9.4,39.9,10
505-02-0892,2/25/2019,Mandalay,Member,Male,Health and beauty,9.33,42.57,8
234-65-2137,1/16/2019,Naypyitaw,Normal,Male,Home and lifestyle,9.86,95.58,10
687-47-8271,2/8/2019,Yangon,Normal,Male,Fashion accessories,8.64,98.98,10
796-32-9050,1/19/2019,Yangon,Normal,Male,Food and beverages,9.4,51.28,6
105-31-1824,2/1/2019,Yangon,Member,Male,Sports and travel,9.13,69.52,7
249-42-3782,1/3/2019,Yangon,Normal,Male,Health and beauty,9.33,70.01,5
316-55-4634,1/26/2019,Mandalay,Member,Male,Food and beverages,9.4,80.05,5
733-33-4967,3/3/2019,Naypyitaw,Normal,Male,Electronic accessories,9.8,20.85,8
608-27-6295,1/19/2019,Mandalay,Member,Male,Electronic accessories,9.8,52.89,6
414-12-7047,1/18/2019,Mandalay,Normal,Male,Food and beverages,9.4,19.79,8
827-26-2100,3/21/2019,Yangon,Member,Male,Home and lifestyle,9.86,33.84,9
175-54-2529,3/3/2019,Yangon,Member,Male,Food and beverages,9.4,22.17,8
139-52-2867,2/13/2019,Naypyitaw,Normal,Female,Fashion accessories,8.64,22.51,7
407-63-8975,3/23/2019,Yangon,Normal,Male,Food and beverages,9.4,73.88,6
342-65-4817,1/28/2019,Naypyitaw,Member,Male,Health and beauty,9.33,86.8,3
130-98-8941,2/9/2019,Naypyitaw,Normal,Male,Fashion accessories,8.64,64.26,7
434-83-9547,1/23/2019,Naypyitaw,Member,Male,Food and beverages,9.4,38.47,8
851-28-6367,3/23/2019,Yangon,Member,Male,Sports and travel,9.13,15.5,10
824-88-3614,1/25/2019,Naypyitaw,Normal,Male,Health and beauty,9.33,34.31,8
586-25-0848,3/4/2019,Yangon,Normal,Female,Sports and travel,9.13,12.34,7
895-66-0685,3/5/2019,Mandalay,Member,Male,Food and beverages,9.4,18.08,3
305-14-0245,3/3/2019,Mandalay,Member,Female,Home and lifestyle,9.86,94.49,8
732-04-5373,2/8/2019,Mandalay,Member,Male,Home and lifestyle,9.86,46.47,4
400-60-7251,2/10/2019,Yangon,Normal,Male,Home and lifestyle,9.86,74.07,1
593-65-1552,1/28/2019,Naypyitaw,Normal,Female,Home and lifestyle,9.86,69.81,4
284-34-9626,2/11/2019,Mandalay,Normal,Female,Home and lifestyle,9.86,77.04,3
437-58-8131,1/15/2019,Mandalay,Normal,Female,Fashion accessories,8.64,73.52,2
286-43-6208,3/16/2019,Naypyitaw,Normal,Female,Food and beverages,9.4,87.8,9
641-43-2399,1/26/2019,Mandalay,Normal,Male,Home and lifestyle,9.86,25.55,4
831-07-6050,3/19/2019,Yangon,Normal,Male,Electronic accessories,9.8,32.71,5
556-86-3144,1/13/2019,Naypyitaw,Member,Female,Fashion accessories,8.64,74.29,1
848-24-9445,3/26/2019,Naypyitaw,Member,Male,Health and beauty,9.33,43.7,2
856-22-8149,3/23/2019,Yangon,Normal,Female,Home and lifestyle,9.86,25.29,1
699-01-4164,3/12/2019,Naypyitaw,Normal,Male,Health and beauty,9.33,41.5,4
420-11-4919,2/17/2019,Naypyitaw,Member,Female,Food and beverages,9.4,71.39,5
606-80-4905,1/29/2019,Naypyitaw,Member,Female,Sports and travel,9.13,19.15,6
542-41-0513,3/15/2019,Mandalay,Member,Female,Electronic accessories,9.8,57.49,4
426-39-2418,1/14/2019,Naypyitaw,Normal,Male,Electronic accessories,9.8,61.41,7
875-46-5808,2/6/2019,Mandalay,Member,Male,Health and beauty,9.33,25.9,10
394-43-4238,2/15/2019,Mandalay,Member,Male,Home and lifestyle,9.86,17.77,5
749-24-1565,1/3/2019,Yangon,Normal,Female,Health and beauty,9.33,23.03,9
672-51-8681,1/4/2019,Naypyitaw,Member,Female,Electronic accessories,9.8,66.65,9
263-87-5680,3/18/2019,Naypyitaw,Member,Female,Home and lifestyle,9.86,28.53,10
573-58-9734,3/28/2019,Mandalay,Normal,Female,Fashion accessories,8.64,30.37,3
817-69-8206,3/2/2019,Mandalay,Normal,Female,Electronic accessories,9.8,99.73,9
888-02-0338,1/25/2019,Yangon,Normal,Male,Electronic accessories,9.8,26.23,9
677-11-0152,1/16/2019,Naypyitaw,Normal,Female,Food and beverages,9.4,93.26,9
142-63-6033,3/20/2019,Mandalay,Normal,Male,Home and lifestyle,9.86,92.36,5
656-16-1063,1/4/2019,Mandalay,Normal,Male,Sports and travel,9.13,46.42,3
891-58-8335,3/11/2019,Mandalay,Member,Female,Sports and travel,9.13,29.61,7
802-43-8934,3/22/2019,Yangon,Normal,Male,Home and lifestyle,9.86,18.28,1
560-30-5617,3/24/2019,Mandalay,Normal,Female,Sports and travel,9.13,24.77,5
319-74-2561,2/21/2019,Yangon,Member,Female,Electronic accessories,9.8,94.64,3
549-03-9315,2/12/2019,Mandalay,Normal,Male,Fashion accessories,8.64,94.87,8
790-29-1172,3/10/2019,Mandalay,Normal,Female,Food and beverages,9.4,57.34,3
239-36-3640,1/31/2019,Mandalay,Normal,Male,Electronic accessories,9.8,45.35,6
468-01-2051,3/6/2019,Mandalay,Normal,Male,Food and beverages,9.4,62.08,7
389-25-3394,2/17/2019,Naypyitaw,Normal,Male,Electronic accessories,9.8,11.81,5
279-62-1445,2/21/2019,Naypyitaw,Member,Female,Fashion accessories,8.64,12.54,1
213-72-6612,3/20/2019,Yangon,Normal,Male,Food and beverages,9.4,43.25,2
746-68-6593,1/11/2019,Naypyitaw,Member,Female,Sports and travel,9.13,87.16,2
836-82-5858,1/26/2019,Mandalay,Member,Male,Health and beauty,9.33,69.37,9
583-72-1480,1/31/2019,Naypyitaw,Member,Male,Electronic accessories,9.8,37.06,4
466-61-5506,2/26/2019,Mandalay,Member,Female,Electronic accessories,9.8,90.7,6
721-86-6247,3/11/2019,Yangon,Normal,Female,Home and lifestyle,9.86,63.42,8
289-65-5721,1/26/2019,Mandalay,Normal,Female,Fashion accessories,8.64,81.37,2
545-46-3100,3/12/2019,Mandalay,Member,Female,Electronic accessories,9.8,10.59,3
418-02-5978,2/11/2019,Mandalay,Normal,Female,Health and beauty,9.33,84.09,9
269-04-5750,2/21/2019,Mandalay,Member,Male,Fashion accessories,8.64,73.82,4
157-13-5295,3/9/2019,Yangon,Member,Male,Health and beauty,9.33,51.94,10
645-78-8093,1/20/2019,Yangon,Normal,Female,Sports and travel,9.13,93.14,2
211-30-9270,1/28/2019,Naypyitaw,Normal,Male,Health and beauty,9.33,17.41,5
755-12-3214,3/5/2019,Naypyitaw,Member,Female,Fashion accessories,8.64,44.22,5
346-84-3103,3/2/2019,Mandalay,Member,Female,Electronic accessories,9.8,13.22,5
478-06-7835,1/11/2019,Yangon,Normal,Male,Fashion accessories,8.64,89.69,1
540-11-4336,1/11/2019,Yangon,Normal,Male,Food and beverages,9.4,24.94,9
448-81-5016,3/11/2019,Yangon,Normal,Male,Health and beauty,9.33,59.77,2
142-72-4741,2/28/2019,Naypyitaw,Member,Male,Fashion accessories,8.64,93.2,2
217-58-1179,1/5/2019,Yangon,Member,Male,Home and lifestyle,9.86,62.65,4
376-02-8238,2/2/2019,Mandalay,Normal,Male,Home and lifestyle,9.86,93.87,8
530-90-9855,1/1/2019,Yangon,Member,Male,Home and lifestyle,9.86,47.59,8
866-05-7563,2/9/2019,Mandalay,Member,Female,Electronic accessories,9.8,81.4,3
604-70-6476,1/23/2019,Yangon,Member,Male,Fashion accessories,8.64,17.94,5
799-71-1548,1/7/2019,Yangon,Member,Male,Electronic accessories,9.8,77.72,4
785-13-7708,1/14/2019,Mandalay,Normal,Male,Food and beverages,9.4,73.06,7
845-51-0542,2/2/2019,Mandalay,Member,Male,Food and beverages,9.4,46.55,9
662-47-5456,3/17/2019,Naypyitaw,Member,Male,Fashion accessories,8.64,35.19,10
883-17-4236,3/2/2019,Naypyitaw,Normal,Female,Sports and travel,9.13,14.39,2
290-68-2984,3/16/2019,Yangon,Normal,Male,Home and lifestyle,9.86,23.75,4
704-11-6354,1/6/2019,Yangon,Member,Male,Home and lifestyle,9.86,58.9,8
110-48-7033,1/29/2019,Mandalay,Member,Male,Fashion accessories,8.64,32.62,4
366-93-0948,1/31/2019,Yangon,Member,Male,Electronic accessories,9.8,66.35,1
729-09-9681,2/5/2019,Yangon,Member,Male,Home and lifestyle,9.86,25.91,6
151-16-1484,2/13/2019,Yangon,Member,Male,Electronic accessories,9.8,32.25,4
380-94-4661,2/7/2019,Naypyitaw,Member,Male,Electronic accessories,9.8,65.94,4
850-41-9669,3/19/2019,Yangon,Normal,Female,Electronic accessories,9.8,75.06,9
821-07-3596,3/7/2019,Naypyitaw,Normal,Female,Fashion accessories,8.64,16.45,4
655-85-5130,3/13/2019,Mandalay,Member,Female,Fashion accessories,8.64,38.3,4
447-15-7839,2/9/2019,Yangon,Member,Female,Sports and travel,9.13,22.24,10
154-74-7179,2/26/2019,Mandalay,Normal,Male,Sports and travel,9.13,54.45,1
253-12-6086,3/12/2019,Yangon,Member,Female,Sports and travel,9.13,98.4,7
808-65-0703,3/14/2019,Naypyitaw,Normal,Male,Home and lifestyle,9.86,35.47,4
571-94-0759,1/8/2019,Mandalay,Member,Female,Food and beverages,9.4,74.6,10
144-51-6085,1/5/2019,Yangon,Member,Male,Home and lifestyle,9.86,70.74,4
731-14-2199,1/4/2019,Yangon,Member,Female,Home and lifestyle,9.86,35.54,10
783-09-1637,3/6/2019,Mandalay,Normal,Female,Sports and travel,9.13,67.43,5
687-15-1097,1/3/2019,Naypyitaw,Member,Female,Health and beauty,9.33,21.12,2
126-54-1082,1/7/2019,Yangon,Member,Female,Home and lifestyle,9.86,21.54,9
633-91-1052,1/27/2019,Yangon,Normal,Female,Home and lifestyle,9.86,12.03,2
477-24-6490,2/26/2019,Mandalay,Normal,Female,Health and beauty,9.33,99.71,6
566-19-5475,1/7/2019,Mandalay,Normal,Male,Fashion accessories,8.64,47.97,7
526-86-8552,1/7/2019,Naypyitaw,Member,Female,Home and lifestyle,9.86,21.82,10
376-56-3573,2/2/2019,Naypyitaw,Normal,Female,Fashion accessories,8.64,95.42,4
537-72-0426,3/20/2019,Naypyitaw,Member,Male,Fashion accessories,8.64,70.99,10
828-61-5674,3/20/2019,Yangon,Member,Male,Sports and travel,9.13,44.02,10
136-08-6195,2/15/2019,Yangon,Normal,Female,Home and lifestyle,9.86,69.96,8
523-38-0215,3/6/2019,Naypyitaw,Normal,Male,Home and lifestyle,9.86,37.0,1
490-29-1201,1/6/2019,Yangon,Normal,Female,Sports and travel,9.13,15.34,1
667-92-0055,3/4/2019,Yangon,Member,Male,Health and beauty,9.33,99.83,6
565-17-3836,3/12/2019,Yangon,Member,Female,Health and beauty,9.33,47.67,4
498-41-1961,2/20/2019,Mandalay,Normal,Male,Health and beauty,9.33,66.68,5
593-95-4461,3/24/2019,Naypyitaw,Member,Male,Home and lifestyle,9.86,74.86,1
226-71-3580,1/31/2019,Naypyitaw,Normal,Female,Sports and travel,9.13,23.75,9
283-79-9594,1/25/2019,Mandalay,Normal,Female,Food and beverages,9.4,48.51,7
430-60-3493,2/3/2019,Yangon,Member,Female,Home and lifestyle,9.86,94.88,7
139-20-0155,1/24/2019,Mandalay,Member,Male,Electronic accessories,9.8,40.3,10
558-80-4082,3/14/2019,Naypyitaw,Normal,Male,Electronic accessories,9.8,27.85,7
278-97-7759,2/18/2019,Yangon,Member,Female,Electronic accessories,9.8,62.48,1
316-68-6352,1/21/2019,Yangon,Member,Female,Food and beverages,9.4,36.36,2
585-03-5943,3/13/2019,Mandalay,Normal,Male,Health and beauty,9.33,18.11,10
211-05-0490,3/3/2019,Naypyitaw,Member,Female,Electronic accessories,9.8,51.92,5
727-75-6477,3/29/2019,Naypyitaw,Normal,Male,Electronic accessories,9.8,28.84,4
744-02-5987,1/10/2019,Yangon,Member,Male,Home and lifestyle,9.86,78.38,6
307-83-9164,1/25/2019,Yangon,Member,Male,Home and lifestyle,9.86,60.01,4
779-06-0012,1/19/2019,Naypyitaw,Member,Female,Home and lifestyle,9.86,88.61,1
446-47-6729,1/2/2019,Naypyitaw,Normal,Male,Fashion accessories,8.64,99.82,2
573-10-3877,3/12/2019,Mandalay,Member,Male,Health and beauty,9.33,39.01,1
735-06-4124,2/25/2019,Naypyitaw,Normal,Male,Food and beverages,9.4,48.61,1
439-54-7422,3/18/2019,Yangon,Normal,Female,Electronic accessories,9.8,51.19,4
396-90-2219,2/23/2019,Mandalay,Normal,Female,Electronic accessories,9.8,14.96,8
411-77-0180,3/26/2019,Yangon,Member,Male,Electronic accessories,9.8,72.2,7
286-01-5402,3/30/2019,Yangon,Normal,Female,Sports and travel,9.13,40.23,7
803-17-8013,2/17/2019,Yangon,Member,Female,Home and lifestyle,9.86,88.79,8
512-98-1403,3/21/2019,Yangon,Member,Female,Electronic accessories,9.8,26.48,3
848-42-2560,3/5/2019,Yangon,Normal,Female,Fashion accessories,8.64,81.91,2
532-59-7201,1/31/2019,Mandalay,Member,Male,Sports and travel,9.13,79.93,6
181-94-6432,2/5/2019,Naypyitaw,Member,Male,Fashion accessories,8.64,69.33,2
